Country,PaymentCount,PaymentAmount,VatAmount,BusinessVatAmount
AE,6,107.2,0.0,0.0
AM,1,19.9,0.0,0.0
AT,86,1381.2,230.18,17.1
AU,1,19.9,0.0,0.0
AZ,1,19.9,0.0,0.0
BA,1,9.9,0.0,0.0
BE,7,165.3,28.69,4.18
BG,4,85.6,14.85,0.0
BR,1,9.9,0.0,0.0
BY,4,79.6,0.0,0.0
CA,1,19.9,0.0,0.0
CH,46,876.3,0.0,0.0
CL,2,34.8,0.0,0.0
CN,2,59.7,0.0,0.0
CY,4,116.3,18.56,0.0
CZ,918,14930.16,2589.6,210.46
DE,75,1416.88,226.3,12.27
DK,2,29.8,5.96,2.48
EE,2,49.8,8.3,0.0
ES,8,196.3,34.06,0.0
FI,1,19.9,3.85,0.0
FR,18,364.12,60.69,19.92
GB,23,415.64,0.0,0.0
GE,6,106.4,0.0,0.0
GR,9,137.89,26.69,0.0
HK,7,126.3,0.0,0.0
HR,59,1209.2,241.84,18.91
HU,20,326.9,69.5,21.72
IE,2,39.8,7.44,0.0
IL,2,49.8,0.0,0.0
IN,1,2.0,0.0,0.0
IT,22,704.62,127.06,6.54
JP,3,47.72,0.0,0.0
KG,15,323.2,0.0,0.0
KR,3,49.7,0.0,0.0
KZ,97,1935.49,0.0,0.0
LT,6,52.4,9.11,1.45
ME,3,32.79,0.0,0.0
MT,1,29.9,4.56,0.0
MX,2,39.8,0.0,0.0
NL,12,432.0,74.96,0.0
NO,1,9.9,0.0,0.0
OM,1,19.9,0.0,0.0
PK,39,294.0,0.0,0.0
PL,11,281.6,52.64,4.58
PR,1,5.99,0.0,0.0
PT,1,19.9,3.72,0.0
QA,3,49.7,0.0,0.0
RO,4,57.78,9.23,0.0
RS,329,1445.74,0.0,0.0
SA,1,29.7,0.0,0.0
SE,2,29.8,5.96,0.0
SI,115,2313.38,417.1,30.24
SK,33,681.68,113.65,0.0
TH,2,39.8,0.0,0.0
TJ,20,461.7,0.0,0.0
TR,4,74.6,0.0,0.0
UA,8,133.2,0.0,0.0
US,13,304.1,0.0,0.0
UZ,63,1095.44,0.0,0.0
